
time,ax,ay,az,wx,wy,wz,
17:25:23:334,1.68,-0.75,1.35,-0.74,-0.33,1.10,
17:25:23:334,1.68,-0.75,1.35,-0.64,-0.27,0.99,
17:25:23:336,1.41,-0.44,1.74,-0.64,-0.27,0.99,
17:25:23:337,1.41,-0.44,1.74,-0.52,-0.16,0.89,
17:25:23:342,1.41,-0.44,1.74,-0.40,-0.05,0.82,
17:25:23:343,0.97,-0.12,1.79,-0.40,-0.05,0.82,
17:25:23:345,0.97,-0.12,1.79,-0.29,0.02,0.78,
17:25:23:346,0.50,0.10,1.43,-0.29,0.02,0.78,
17:25:23:351,0.15,0.19,1.06,-0.29,0.02,0.78,
17:25:23:351,0.15,0.19,1.06,-0.20,0.07,0.77,
17:25:23:355,0.04,0.24,0.85,-0.20,0.07,0.77,
17:25:23:356,0.04,0.24,0.85,-0.13,0.09,0.78,
17:25:23:360,0.04,0.22,0.66,-0.13,0.09,0.78,
17:25:23:361,0.04,0.22,0.66,-0.09,0.08,0.80,
17:25:23:364,0.04,0.22,0.66,-0.06,0.05,0.83,
17:25:23:365,0.12,0.18,0.43,-0.06,0.05,0.83,
17:25:23:369,0.12,0.18,0.43,-0.04,0.02,0.85,
17:25:23:370,0.24,0.18,0.22,-0.04,0.02,0.85,
17:25:23:384,0.24,0.18,0.22,-0.03,0.02,0.87,
17:25:23:385,0.37,0.21,0.16,-0.03,0.02,0.87,
17:25:23:386,0.62,0.23,0.11,-0.03,0.02,0.87,
17:25:23:386,0.62,0.23,0.11,-0.03,0.02,0.89,
17:25:23:386,0.98,0.14,0.05,-0.03,0.02,0.89,
17:25:23:386,0.98,0.14,0.05,-0.03,0.03,0.89,
17:25:23:388,1.07,-0.05,-0.12,-0.03,0.03,0.89,
17:25:23:388,1.07,-0.05,-0.12,-0.04,0.08,0.88,
17:25:23:394,1.07,-0.05,-0.12,-0.05,0.17,0.85,
17:25:23:395,1.20,0.00,-0.28,-0.05,0.17,0.85,
17:25:23:399,1.23,0.12,-0.34,-0.05,0.17,0.85,
17:25:23:400,1.23,0.12,-0.34,-0.06,0.24,0.83,
17:25:23:403,1.30,0.14,-0.23,-0.06,0.24,0.83,
17:25:23:403,1.30,0.14,-0.23,-0.08,0.27,0.81,
17:25:23:421,1.30,0.14,-0.23,-0.10,0.26,0.80,
17:25:23:421,1.21,0.10,0.04,-0.10,0.26,0.80,
17:25:23:446,1.04,-0.03,0.21,-0.10,0.26,0.80,
17:25:23:447,1.04,-0.03,0.21,-0.12,0.21,0.79,
17:25:23:447,1.04,-0.03,0.21,-0.15,0.13,0.79,
17:25:23:448,0.77,-0.14,0.07,-0.15,0.13,0.79,
17:25:23:448,0.49,-0.07,-0.11,-0.15,0.13,0.79,
17:25:23:449,0.49,-0.07,-0.11,-0.17,0.08,0.79,
17:25:23:449,0.02,-0.13,-0.34,-0.17,0.08,0.79,
17:25:23:450,0.02,-0.13,-0.34,-0.19,0.05,0.78,
17:25:23:451,-0.41,-0.14,-0.63,-0.19,0.05,0.78,
17:25:23:452,-0.41,-0.14,-0.63,-0.22,0.04,0.78,
17:25:23:453,-0.59,-0.09,-0.48,-0.22,0.04,0.78,
17:25:23:453,-0.59,-0.09,-0.48,-0.25,0.05,0.79,
17:25:23:454,-0.73,0.01,-0.01,-0.25,0.05,0.79,
17:25:23:454,-0.73,0.01,-0.01,-0.26,0.04,0.81,
17:25:23:454,-0.73,0.07,0.31,-0.26,0.04,0.81,
17:25:23:454,-0.73,0.07,0.31,-0.25,0.00,0.84,
17:25:23:455,-0.72,0.10,0.53,-0.25,0.00,0.84,
17:25:23:455,-0.72,0.10,0.53,-0.23,-0.05,0.87,
17:25:23:458,-0.58,0.08,0.60,-0.23,-0.05,0.87,
17:25:23:458,-0.58,0.08,0.60,-0.20,-0.09,0.90,
17:25:23:461,-0.46,0.02,0.51,-0.20,-0.09,0.90,
17:25:23:462,-0.46,0.02,0.51,-0.15,-0.11,0.93,
17:25:23:467,-0.16,-0.08,0.50,-0.15,-0.11,0.93,
17:25:23:468,-0.16,-0.08,0.50,-0.09,-0.10,0.95,
17:25:23:472,0.28,-0.09,0.47,-0.09,-0.10,0.95,
17:25:23:472,0.28,-0.09,0.47,-0.03,-0.07,0.95,
17:25:23:484,0.65,-0.03,0.45,-0.03,-0.07,0.95,
17:25:23:485,0.65,-0.03,0.45,0.03,-0.02,0.94,
17:25:23:485,1.02,0.07,0.37,0.03,-0.02,0.94,
17:25:23:485,1.02,0.07,0.37,0.09,0.03,0.92,
17:25:23:485,1.35,0.26,0.08,0.09,0.03,0.92,
17:25:23:486,1.35,0.26,0.08,0.14,0.06,0.89,
17:25:23:491,1.35,0.26,0.08,0.18,0.09,0.86,
17:25:23:499,1.60,0.37,-0.04,0.18,0.09,0.86,
17:25:23:500,1.60,0.37,-0.04,0.22,0.12,0.82,
17:25:23:501,1.68,0.44,-0.25,0.22,0.12,0.82,
17:25:23:501,1.76,0.46,-0.28,0.22,0.12,0.82,
17:25:23:501,1.76,0.46,-0.28,0.24,0.16,0.79,
17:25:23:506,1.66,0.52,-0.25,0.24,0.16,0.79,
17:25:23:507,1.66,0.52,-0.25,0.26,0.17,0.76,
17:25:23:511,1.59,0.59,-0.14,0.26,0.17,0.76,
17:25:23:512,1.59,0.59,-0.14,0.28,0.16,0.73,
17:25:23:515,1.59,0.59,-0.14,0.29,0.15,0.70,
17:25:23:516,1.76,0.74,-0.05,0.29,0.15,0.70,
17:25:23:519,1.76,0.74,-0.05,0.31,0.16,0.63,
17:25:23:520,1.92,0.74,-0.13,0.31,0.16,0.63,
17:25:23:524,1.87,0.62,-0.27,0.31,0.16,0.63,
17:25:23:525,1.87,0.62,-0.27,0.34,0.20,0.54,
17:25:23:529,1.87,0.62,-0.27,0.37,0.26,0.46,
17:25:23:529,1.78,0.62,0.01,0.37,0.26,0.46,
17:25:23:535,1.40,0.67,0.26,0.37,0.26,0.46,
17:25:23:536,1.40,0.67,0.26,0.42,0.30,0.39,
17:25:23:540,1.40,0.67,0.26,0.47,0.32,0.33,
17:25:23:540,0.88,0.60,0.71,0.47,0.32,0.33,
17:25:23:545,0.26,0.54,1.12,0.47,0.32,0.33,
17:25:23:546,0.26,0.54,1.12,0.51,0.28,0.27,
17:25:23:550,0.26,0.54,1.12,0.55,0.21,0.24,
17:25:23:550,-0.37,0.53,1.29,0.55,0.21,0.24,
17:25:23:557,-0.37,0.53,1.29,0.56,0.12,0.23,
17:25:23:557,-0.96,0.56,1.06,0.56,0.12,0.23,
17:25:23:560,-0.96,0.56,1.06,0.56,0.06,0.25,
17:25:23:561,-1.03,0.68,0.34,0.56,0.06,0.25,
17:25:23:564,-1.03,0.68,0.34,0.53,0.07,0.26,
17:25:23:564,-1.18,0.72,-0.53,0.53,0.07,0.26,
17:25:23:568,-1.18,0.72,-0.53,0.45,0.13,0.31,
17:25:23:569,-1.19,0.89,-1.33,0.45,0.13,0.31,
17:25:23:574,-0.91,1.00,-1.47,0.45,0.13,0.31,
17:25:23:576,-0.91,1.00,-1.47,0.33,0.20,0.38,
17:25:23:579,-0.43,0.98,-1.64,0.33,0.20,0.38,
17:25:23:579,-0.43,0.98,-1.64,0.22,0.25,0.45,
17:25:23:583,0.12,0.92,-1.60,0.22,0.25,0.45,
17:25:23:584,0.12,0.92,-1.60,0.09,0.27,0.50,
17:25:23:588,0.35,0.97,-1.54,0.09,0.27,0.50,
17:25:23:588,0.35,0.97,-1.54,-0.03,0.28,0.52,
17:25:23:594,0.19,1.10,-1.38,-0.03,0.28,0.52,
17:25:23:595,0.19,1.10,-1.38,-0.14,0.32,0.53,
17:25:23:603,0.19,1.10,-1.38,-0.22,0.37,0.54,
17:25:23:605,-0.23,1.24,-1.18,-0.22,0.37,0.54,
17:25:23:605,-0.58,1.33,-0.93,-0.22,0.37,0.54,
17:25:23:606,-0.58,1.33,-0.93,-0.27,0.43,0.57,
17:25:23:617,-0.90,1.36,-0.74,-0.27,0.43,0.57,
17:25:23:618,-0.90,1.36,-0.74,-0.29,0.49,0.62,
17:25:23:619,-1.11,1.37,-0.56,-0.29,0.49,0.62,
17:25:23:619,-1.11,1.37,-0.56,-0.28,0.54,0.68,
17:25:23:620,-1.11,1.37,-0.56,-0.26,0.59,0.75,
17:25:23:621,-1.33,1.37,-0.46,-0.26,0.59,0.75,
17:25:23:649,-1.58,1.33,-0.36,-0.26,0.59,0.75,
17:25:23:650,-1.58,1.33,-0.36,-0.24,0.63,0.82,
17:25:23:651,-1.58,1.33,-0.36,-0.21,0.66,0.89,
17:25:23:651,-1.71,1.29,-0.14,-0.21,0.66,0.89,
17:25:23:651,-1.77,1.31,0.05,-0.21,0.66,0.89,
17:25:23:652,-1.77,1.31,0.05,-0.17,0.69,0.96,
17:25:23:652,-1.77,1.31,0.05,-0.12,0.71,1.03,
17:25:23:652,-1.74,1.25,0.32,-0.12,0.71,1.03,
17:25:23:652,-1.74,1.25,0.32,-0.06,0.72,1.09,
17:25:23:653,-1.75,1.16,0.49,-0.06,0.72,1.09,
17:25:23:653,-1.74,1.10,0.55,-0.06,0.72,1.09,
17:25:23:653,-1.74,1.10,0.55,0.00,0.72,1.15,
17:25:23:654,-1.50,0.90,0.77,0.00,0.72,1.15,
17:25:23:654,-1.50,0.90,0.77,0.07,0.71,1.20,
17:25:23:677,-1.17,0.66,0.69,0.07,0.71,1.20,
17:25:23:678,-1.17,0.66,0.69,0.14,0.69,1.24,
17:25:23:679,-1.17,0.66,0.69,0.20,0.67,1.27,
17:25:23:679,-0.90,0.49,0.52,0.20,0.67,1.27,
17:25:23:679,-0.90,0.49,0.52,0.27,0.68,1.30,
17:25:23:680,-0.58,0.24,0.26,0.27,0.68,1.30,
17:25:23:680,-0.28,-0.03,0.01,0.27,0.68,1.30,
17:25:23:681,-0.28,-0.03,0.01,0.32,0.69,1.33,
17:25:23:681,-0.28,-0.03,0.01,0.34,0.70,1.34,
17:25:23:681,-0.10,-0.26,-0.29,0.34,0.70,1.34,
17:25:23:682,0.02,-0.52,-0.71,0.34,0.70,1.34,
17:25:23:682,0.02,-0.52,-0.71,0.34,0.74,1.34,
17:25:23:684,0.02,-0.52,-0.71,0.31,0.81,1.34,
17:25:23:685,0.13,-0.78,-0.98,0.31,0.81,1.34,
17:25:23:689,0.24,-1.06,-0.87,0.31,0.81,1.34,
17:25:23:689,0.24,-1.06,-0.87,0.23,0.85,1.33,
17:25:23:694,0.23,-1.13,-0.98,0.23,0.85,1.33,
17:25:23:694,0.23,-1.13,-0.98,0.14,0.88,1.31,
17:25:23:699,0.28,-1.18,-0.82,0.14,0.88,1.31,
17:25:23:699,0.28,-1.18,-0.82,0.08,0.97,1.28,
17:25:23:705,0.31,-1.16,-1.00,0.08,0.97,1.28,
17:25:23:705,0.31,-1.16,-1.00,0.05,1.09,1.25,
17:25:23:716,0.31,-1.16,-1.00,0.02,1.18,1.23,
17:25:23:716,0.43,-1.20,-0.91,0.02,1.18,1.23,
17:25:23:717,0.43,-1.20,-0.91,-0.03,1.19,1.21,
17:25:23:717,0.30,-1.09,-0.72,-0.03,1.19,1.21,
17:25:23:718,0.30,-1.09,-0.72,-0.09,1.19,1.20,
17:25:23:718,0.19,-1.11,-0.36,-0.09,1.19,1.20,
17:25:23:735,0.19,-1.11,-0.36,-0.18,1.16,1.19,
17:25:23:736,0.06,-1.18,-0.16,-0.18,1.16,1.19,
17:25:23:736,0.06,-1.18,-0.16,-0.29,1.09,1.17,
17:25:23:737,0.04,-1.27,-0.05,-0.29,1.09,1.17,
17:25:23:737,0.04,-1.27,-0.05,-0.41,1.06,1.15,
17:25:23:737,-0.02,-1.37,0.16,-0.41,1.06,1.15,
17:25:23:738,-0.02,-1.37,0.16,-0.53,0.98,1.12,
17:25:23:738,-0.02,-1.55,0.52,-0.53,0.98,1.12,
17:25:23:743,0.08,-1.76,1.11,-0.53,0.98,1.12,
17:25:23:744,0.08,-1.76,1.11,-0.63,0.87,1.08,
17:25:23:747,0.18,-1.93,1.58,-0.63,0.87,1.08,
17:25:23:748,0.18,-1.93,1.58,-0.69,0.75,1.03,
17:25:23:753,0.18,-1.93,1.58,-0.70,0.61,0.97,
17:25:23:753,0.22,-1.98,1.90,-0.70,0.61,0.97,
17:25:23:757,0.22,-1.98,1.90,-0.67,0.49,0.90,
17:25:23:759,0.36,-2.03,2.16,-0.67,0.49,0.90,
17:25:23:763,0.47,-1.96,2.05,-0.67,0.49,0.90,
17:25:23:764,0.47,-1.96,2.05,-0.61,0.37,0.83,
17:25:23:767,0.47,-1.96,2.05,-0.53,0.30,0.76,
17:25:23:767,0.62,-1.99,2.00,-0.53,0.30,0.76,
17:25:23:771,0.62,-1.99,2.00,-0.43,0.23,0.69,
17:25:23:773,0.72,-2.04,1.99,-0.43,0.23,0.69,
17:25:23:777,0.72,-2.04,1.99,-0.33,0.18,0.63,
17:25:23:778,0.93,-2.12,2.02,-0.33,0.18,0.63,
17:25:23:782,0.93,-2.12,2.02,-0.24,0.15,0.56,
17:25:23:783,1.09,-2.22,1.91,-0.24,0.15,0.56,
17:25:23:786,1.00,-2.10,1.68,-0.24,0.15,0.56,
17:25:23:786,1.00,-2.10,1.68,-0.17,0.14,0.49,
17:25:23:791,1.00,-2.10,1.68,-0.09,0.14,0.44,
17:25:23:792,1.00,-1.97,2.05,-0.09,0.14,0.44,
17:25:23:796,1.04,-2.00,2.27,-0.09,0.14,0.44,
17:25:23:797,1.04,-2.00,2.27,-0.01,0.10,0.41,
17:25:23:801,0.97,-2.12,2.06,-0.01,0.10,0.41,
17:25:23:801,0.97,-2.12,2.06,0.08,0.05,0.37,
17:25:23:811,0.97,-2.12,2.06,0.17,0.05,0.32,
17:25:23:812,0.80,-2.11,1.42,0.17,0.05,0.32,
17:25:23:813,0.80,-2.11,1.42,0.24,0.11,0.26,
17:25:23:813,0.94,-2.10,0.91,0.24,0.11,0.26,
17:25:23:815,0.94,-2.10,0.91,0.28,0.15,0.20,
17:25:23:816,1.03,-1.83,0.45,0.28,0.15,0.20,
17:25:23:821,1.03,-1.83,0.45,0.29,0.20,0.14,
17:25:23:822,0.85,-1.35,0.21,0.29,0.20,0.14,
17:25:23:842,0.85,-1.35,0.21,0.30,0.24,0.11,
17:25:23:843,0.45,-0.76,0.01,0.30,0.24,0.11,
17:25:23:843,0.45,-0.76,0.01,0.30,0.29,0.12,
17:25:23:843,0.06,-0.34,-0.23,0.30,0.29,0.12,
17:25:23:844,0.06,-0.34,-0.23,0.28,0.33,0.15,
17:25:23:844,-0.19,-0.07,-0.39,0.28,0.33,0.15,
17:25:23:844,-0.19,-0.07,-0.39,0.26,0.38,0.20,
17:25:23:845,-0.24,0.05,-0.28,0.26,0.38,0.20,
17:25:23:845,-0.23,0.07,-0.07,0.26,0.38,0.20,
17:25:23:845,-0.23,0.07,-0.07,0.23,0.40,0.26,
17:25:23:851,-0.31,0.13,0.35,0.23,0.40,0.26,
17:25:23:851,-0.31,0.13,0.35,0.20,0.36,0.31,
17:25:23:856,-0.31,0.13,0.35,0.17,0.27,0.38,
17:25:23:856,-0.45,0.19,0.85,0.17,0.27,0.38,
17:25:23:861,-0.70,0.38,1.08,0.17,0.27,0.38,
17:25:23:862,-0.70,0.38,1.08,0.16,0.14,0.45,
17:25:23:865,-0.93,0.50,1.13,0.16,0.14,0.45,
17:25:23:866,-0.93,0.50,1.13,0.15,0.02,0.52,
17:25:23:868,-0.98,0.48,1.08,0.15,0.02,0.52,
17:25:23:869,-0.98,0.48,1.08,0.15,-0.10,0.59,
17:25:23:877,-0.56,0.29,0.75,0.15,-0.10,0.59,
17:25:23:877,-0.56,0.29,0.75,0.14,-0.22,0.65,
17:25:23:879,-0.56,0.29,0.75,0.12,-0.39,0.68,
17:25:23:879,-0.11,0.13,0.28,0.12,-0.39,0.68,
17:25:23:884,-0.11,0.13,0.28,0.09,-0.54,0.70,
17:25:23:884,0.11,0.04,-0.02,0.09,-0.54,0.70,
17:25:23:889,0.11,0.04,-0.02,0.07,-0.62,0.69,
17:25:23:889,0.15,-0.02,-0.31,0.07,-0.62,0.69,
17:25:23:894,0.15,-0.02,-0.31,0.04,-0.63,0.68,
17:25:23:895,0.07,-0.14,-0.48,0.04,-0.63,0.68,
17:25:23:921,0.07,-0.14,-0.48,0.02,-0.60,0.66,
17:25:23:921,0.07,-0.42,-0.61,0.02,-0.60,0.66,
17:25:23:922,0.07,-0.42,-0.61,-0.02,-0.54,0.64,
17:25:23:922,0.07,-0.53,-0.75,-0.02,-0.54,0.64,
17:25:23:922,0.07,-0.53,-0.75,-0.05,-0.45,0.61,
17:25:23:923,-0.04,-0.54,-0.77,-0.05,-0.45,0.61,
17:25:23:923,-0.04,-0.54,-0.77,-0.09,-0.33,0.58,
17:25:23:923,0.00,-0.50,-0.62,-0.09,-0.33,0.58,
17:25:23:924,0.26,-0.45,-0.62,-0.09,-0.33,0.58,
17:25:23:924,0.26,-0.45,-0.62,-0.13,-0.19,0.55,
17:25:23:924,0.26,-0.45,-0.62,-0.18,-0.09,0.50,
17:25:23:925,0.49,-0.47,-0.61,-0.18,-0.09,0.50,
17:25:23:928,0.67,-0.53,-0.51,-0.18,-0.09,0.50,
17:25:23:929,0.67,-0.53,-0.51,-0.25,0.01,0.45,
17:25:23:934,0.67,-0.53,-0.51,-0.30,0.14,0.38,
17:25:23:934,0.61,-0.51,-0.30,-0.30,0.14,0.38,
17:25:23:938,0.61,-0.51,-0.30,-0.33,0.28,0.33,
17:25:23:938,0.51,-0.47,-0.14,-0.33,0.28,0.33,
17:25:23:945,0.51,-0.47,-0.14,-0.36,0.41,0.28,
17:25:23:946,0.37,-0.53,-0.12,-0.36,0.41,0.28,
17:25:23:948,0.37,-0.53,-0.12,-0.37,0.54,0.23,
17:25:23:949,0.28,-0.65,-0.02,-0.37,0.54,0.23,
17:25:23:951,0.26,-0.81,0.04,-0.37,0.54,0.23,
17:25:23:952,0.26,-0.81,0.04,-0.37,0.65,0.18,
17:25:23:961,0.43,-1.00,0.16,-0.37,0.65,0.18,
17:25:23:962,0.43,-1.00,0.16,-0.35,0.75,0.14,
17:25:23:962,0.47,-0.99,0.40,-0.35,0.75,0.14,
17:25:23:962,0.47,-0.99,0.40,-0.33,0.82,0.10,
17:25:23:973,0.38,-0.77,0.79,-0.33,0.82,0.10,
17:25:23:974,0.34,-0.50,1.01,-0.33,0.82,0.10,
17:25:23:974,0.34,-0.50,1.01,-0.30,0.86,0.08,
17:25:23:975,0.34,-0.50,1.01,-0.24,0.85,0.09,
17:25:23:992,0.25,-0.20,1.14,-0.24,0.85,0.09,
17:25:23:993,0.25,-0.20,1.14,-0.17,0.84,0.12,
17:25:23:993,0.36,-0.11,1.25,-0.17,0.84,0.12,
17:25:23:994,0.36,-0.11,1.25,-0.10,0.79,0.16,
17:25:23:994,0.39,-0.04,1.25,-0.10,0.79,0.16,
17:25:23:994,0.39,-0.04,1.25,-0.04,0.70,0.19,
17:25:23:995,0.21,-0.01,1.09,-0.04,0.70,0.19,
17:25:23:995,0.21,-0.01,1.09,0.00,0.57,0.22,
17:25:23:995,0.02,0.14,0.90,0.00,0.57,0.22,
17:25:23:996,0.02,0.14,0.90,0.04,0.47,0.24,
17:25:24:000,0.02,0.14,0.90,0.06,0.40,0.27,
17:25:24:001,0.08,0.16,0.65,0.06,0.40,0.27,
17:25:24:006,0.38,-0.13,0.46,0.06,0.40,0.27,
17:25:24:006,0.38,-0.13,0.46,0.05,0.26,0.29,
17:25:24:010,0.38,-0.13,0.46,0.06,0.21,0.30,
17:25:24:011,0.37,-0.30,0.10,0.06,0.21,0.30,
17:25:24:015,0.42,-0.35,-0.14,0.06,0.21,0.30,
17:25:24:015,0.42,-0.35,-0.14,0.07,0.20,0.29,
17:25:24:020,0.66,-0.32,-0.04,0.07,0.20,0.29,
17:25:24:021,0.66,-0.32,-0.04,0.06,0.20,0.28,
17:25:24:025,0.66,-0.32,-0.04,0.06,0.20,0.25,
17:25:24:027,1.03,-0.29,0.20,0.06,0.20,0.25,
17:25:24:031,1.03,-0.29,0.20,0.08,0.21,0.20,
17:25:24:031,1.42,0.04,0.64,0.08,0.21,0.20,
17:25:24:034,1.21,0.05,0.73,0.08,0.21,0.20,
17:25:24:035,1.21,0.05,0.73,0.13,0.22,0.14,
17:25:24:039,1.16,-0.16,0.93,0.13,0.22,0.14,
17:25:24:040,1.16,-0.16,0.93,0.17,0.28,0.09,
17:25:24:046,1.10,0.02,0.76,0.17,0.28,0.09,
17:25:24:047,1.10,0.02,0.76,0.21,0.32,0.04,
17:25:24:049,1.10,0.02,0.76,0.26,0.37,-0.02,
17:25:24:050,0.77,0.35,0.16,0.26,0.37,-0.02,
17:25:24:054,0.65,0.02,0.05,0.26,0.37,-0.02,
17:25:24:054,0.65,0.02,0.05,0.30,0.49,-0.07,
17:25:24:074,0.65,0.02,0.05,0.33,0.62,-0.10,
17:25:24:075,0.71,-0.50,0.22,0.33,0.62,-0.10,
17:25:24:076,1.02,-0.78,0.34,0.33,0.62,-0.10,
17:25:24:076,1.02,-0.78,0.34,0.35,0.73,-0.14,
17:25:24:076,1.02,-0.78,0.34,0.38,0.84,-0.20,
17:25:24:076,1.12,-0.57,0.35,0.38,0.84,-0.20,
17:25:24:077,1.11,-0.43,0.29,0.38,0.84,-0.20,
17:25:24:077,1.11,-0.43,0.29,0.41,0.96,-0.26,
17:25:24:078,1.17,-0.53,0.15,0.41,0.96,-0.26,
17:25:24:078,1.17,-0.53,0.15,0.44,1.07,-0.31,
17:25:24:082,1.17,-0.53,0.15,0.44,1.16,-0.36,
17:25:24:083,1.21,-0.69,-0.09,0.44,1.16,-0.36,
17:25:24:087,1.21,-0.69,-0.09,0.44,1.26,-0.41,
