
time,ax,ay,az,wx,wy,wz,
17:43:28:348,-0.83,-0.04,-0.62,-0.09,-0.36,0.15,
17:43:28:354,-0.83,-0.04,-0.62,-0.10,-0.39,0.17,
17:43:28:356,-0.90,0.01,-0.76,-0.10,-0.39,0.17,
17:43:28:358,-0.90,0.01,-0.76,-0.11,-0.42,0.19,
17:43:28:359,-0.84,0.06,-0.86,-0.11,-0.42,0.19,
17:43:28:363,-0.84,0.06,-0.86,-0.14,-0.45,0.21,
17:43:28:364,-0.79,0.09,-0.96,-0.14,-0.45,0.21,
17:43:28:370,-0.79,0.09,-0.96,-0.17,-0.49,0.23,
17:43:28:371,-0.71,0.13,-1.11,-0.17,-0.49,0.23,
17:43:28:372,-0.71,0.13,-1.11,-0.22,-0.53,0.26,
17:43:28:373,-0.64,0.15,-1.28,-0.22,-0.53,0.26,
17:43:28:378,-0.64,0.15,-1.28,-0.28,-0.55,0.28,
17:43:28:379,-0.59,0.15,-1.35,-0.28,-0.55,0.28,
17:43:28:384,-0.59,0.15,-1.38,-0.28,-0.55,0.28,
17:43:28:384,-0.59,0.15,-1.38,-0.35,-0.58,0.30,
17:43:28:395,-0.59,0.15,-1.38,-0.42,-0.61,0.31,
17:43:28:396,-0.52,0.14,-1.44,-0.42,-0.61,0.31,
17:43:28:396,-0.52,0.14,-1.44,-0.51,-0.63,0.33,
17:43:28:397,-0.42,0.13,-1.50,-0.51,-0.63,0.33,
17:43:28:397,-0.30,0.12,-1.61,-0.51,-0.63,0.33,
17:43:28:397,-0.30,0.12,-1.61,-0.60,-0.63,0.33,
17:43:28:406,-0.15,0.13,-1.65,-0.60,-0.63,0.33,
17:43:28:406,-0.15,0.13,-1.65,-0.69,-0.62,0.33,
17:43:28:407,-0.15,0.13,-1.65,-0.78,-0.58,0.32,
17:43:28:407,-0.07,0.11,-1.63,-0.78,-0.58,0.32,
17:43:28:412,-0.07,0.11,-1.63,-0.87,-0.53,0.31,
17:43:28:413,-0.13,0.01,-1.54,-0.87,-0.53,0.31,
17:43:28:429,-0.22,-0.12,-1.34,-0.87,-0.53,0.31,
17:43:28:430,-0.22,-0.12,-1.34,-0.95,-0.49,0.31,
17:43:28:430,-0.31,-0.14,-1.09,-0.95,-0.49,0.31,
17:43:28:431,-0.31,-0.14,-1.09,-1.05,-0.47,0.33,
17:43:28:431,-0.31,-0.14,-1.09,-1.14,-0.48,0.35,
17:43:28:431,-0.45,-0.10,-0.95,-1.14,-0.48,0.35,
17:43:28:432,-0.62,0.00,-0.91,-1.14,-0.48,0.35,
17:43:28:432,-0.62,0.00,-0.91,-1.23,-0.49,0.40,
17:43:28:437,-0.78,0.01,-0.71,-1.23,-0.49,0.40,
17:43:28:439,-0.78,0.01,-0.71,-1.31,-0.50,0.46,
17:43:28:440,-0.93,0.12,-0.09,-1.31,-0.50,0.46,
17:43:28:441,-0.93,0.12,-0.09,-1.39,-0.52,0.54,
17:43:28:446,-1.11,0.26,0.42,-1.39,-0.52,0.54,
17:43:28:446,-1.11,0.26,0.42,-1.45,-0.58,0.64,
17:43:28:455,-1.24,0.32,0.73,-1.45,-0.58,0.64,
17:43:28:456,-1.24,0.32,0.73,-1.50,-0.67,0.77,
17:43:28:456,-1.39,0.39,0.77,-1.50,-0.67,0.77,
17:43:28:456,-1.39,0.39,0.77,-1.54,-0.75,0.91,
17:43:28:461,-1.39,0.39,0.77,-1.55,-0.81,1.06,
17:43:28:462,-1.47,0.52,0.65,-1.55,-0.81,1.06,
17:43:28:467,-1.62,0.61,0.48,-1.55,-0.81,1.06,
17:43:28:468,-1.62,0.61,0.48,-1.54,-0.80,1.20,
17:43:28:476,-1.66,0.65,0.29,-1.54,-0.80,1.20,
17:43:28:476,-1.57,0.71,0.34,-1.54,-0.80,1.20,
17:43:28:476,-1.57,0.71,0.34,-1.51,-0.73,1.34,
17:43:28:477,-1.57,0.71,0.34,-1.45,-0.63,1.47,
17:43:28:479,-1.46,0.72,0.48,-1.45,-0.63,1.47,
17:43:28:479,-1.46,0.72,0.48,-1.39,-0.53,1.57,
17:43:28:484,-1.37,0.70,0.67,-1.39,-0.53,1.57,
17:43:28:485,-1.37,0.70,0.67,-1.32,-0.45,1.66,
17:43:28:489,-1.37,0.70,0.67,-1.24,-0.41,1.73,
17:43:28:489,-1.48,0.53,0.83,-1.24,-0.41,1.73,
17:43:28:493,-1.48,0.53,0.83,-1.16,-0.42,1.80,
17:43:28:494,-1.36,0.46,0.97,-1.16,-0.42,1.80,
17:43:28:498,-1.36,0.46,0.97,-1.08,-0.47,1.85,
17:43:28:498,-1.20,0.40,1.02,-1.08,-0.47,1.85,
17:43:28:503,-1.20,0.40,1.02,-1.01,-0.54,1.89,
17:43:28:504,-1.08,0.39,1.11,-1.01,-0.54,1.89,
17:43:28:508,-1.08,0.39,1.11,-0.94,-0.62,1.91,
17:43:28:509,-0.89,0.36,0.93,-0.94,-0.62,1.91,
17:43:28:512,-0.89,0.36,0.93,-0.87,-0.69,1.92,
17:43:28:513,-0.63,0.31,0.92,-0.87,-0.69,1.92,
17:43:28:520,-0.49,0.26,0.83,-0.87,-0.69,1.92,
17:43:28:521,-0.49,0.26,0.83,-0.80,-0.75,1.91,
17:43:28:543,-0.49,0.26,0.83,-0.72,-0.80,1.90,
17:43:28:543,-0.39,0.09,0.54,-0.72,-0.80,1.90,
17:43:28:544,-0.39,0.09,0.54,-0.64,-0.80,1.87,
17:43:28:544,-0.05,0.01,0.31,-0.64,-0.80,1.87,
17:43:28:544,-0.05,0.01,0.31,-0.56,-0.77,1.83,
17:43:28:545,0.32,-0.09,0.19,-0.56,-0.77,1.83,
17:43:28:545,0.73,-0.24,0.33,-0.56,-0.77,1.83,
17:43:28:545,0.73,-0.24,0.33,-0.47,-0.70,1.76,
17:43:28:546,0.73,-0.24,0.33,-0.38,-0.62,1.68,
17:43:28:546,1.17,-0.46,0.43,-0.38,-0.62,1.68,
17:43:28:547,1.17,-0.46,0.43,-0.28,-0.55,1.57,
17:43:28:548,1.54,-0.60,0.49,-0.28,-0.55,1.57,
17:43:28:553,1.54,-0.60,0.49,-0.19,-0.50,1.45,
17:43:28:554,1.80,-0.71,0.47,-0.19,-0.50,1.45,
17:43:28:561,1.80,-0.71,0.47,-0.11,-0.46,1.32,
17:43:28:562,1.99,-0.80,0.37,-0.11,-0.46,1.32,
17:43:28:562,1.99,-0.80,0.37,-0.03,-0.43,1.17,
17:43:28:562,2.26,-0.88,0.20,-0.03,-0.43,1.17,
17:43:28:568,2.26,-0.88,0.20,0.03,-0.40,1.02,
17:43:28:568,2.49,-1.00,0.03,0.03,-0.40,1.02,
17:43:28:571,2.49,-1.00,0.03,0.08,-0.40,0.84,
17:43:28:572,2.72,-1.09,-0.10,0.08,-0.40,0.84,
17:43:28:576,2.72,-1.09,-0.10,0.11,-0.41,0.66,
17:43:28:577,2.79,-1.31,-0.51,0.11,-0.41,0.66,
17:43:28:583,2.77,-1.41,-0.76,0.11,-0.41,0.66,
17:43:28:584,2.77,-1.41,-0.76,0.12,-0.41,0.46,
17:43:28:590,2.61,-1.46,-0.85,0.12,-0.41,0.46,
17:43:28:591,2.61,-1.46,-0.85,0.10,-0.40,0.27,
17:43:28:591,2.14,-1.21,-0.06,0.10,-0.40,0.27,
17:43:28:591,2.14,-1.21,-0.06,0.08,-0.44,0.10,
17:43:28:596,2.14,-1.21,-0.06,0.08,-0.53,-0.03,
17:43:28:596,1.78,-0.95,-0.64,0.08,-0.53,-0.03,
17:43:28:601,1.33,-0.67,-0.66,0.08,-0.53,-0.03,
17:43:28:601,1.33,-0.67,-0.66,0.04,-0.60,-0.12,
17:43:28:606,0.97,-0.42,-0.37,0.04,-0.60,-0.12,
17:43:28:606,0.97,-0.42,-0.37,0.00,-0.69,-0.17,
17:43:28:610,0.97,-0.42,-0.37,-0.04,-0.81,-0.20,
17:43:28:611,0.55,-0.28,-0.20,-0.04,-0.81,-0.20,
17:43:28:615,0.55,-0.28,-0.20,-0.09,-0.95,-0.20,
17:43:28:617,0.35,-0.18,0.06,-0.09,-0.95,-0.20,
17:43:28:621,0.35,-0.18,0.06,-0.13,-1.11,-0.19,
17:43:28:622,0.16,-0.17,0.01,-0.13,-1.11,-0.19,
17:43:28:625,0.16,-0.17,0.01,-0.17,-1.27,-0.18,
17:43:28:626,0.17,-0.08,0.04,-0.17,-1.27,-0.18,
17:43:28:630,0.23,0.01,-0.02,-0.17,-1.27,-0.18,
17:43:28:630,0.23,0.01,-0.02,-0.20,-1.40,-0.17,
17:43:28:639,0.23,0.01,-0.02,-0.22,-1.49,-0.17,
17:43:28:641,0.23,0.01,-0.02,-0.22,-1.55,-0.19,
17:43:28:642,0.40,0.12,0.18,-0.22,-1.55,-0.19,
17:43:28:642,0.45,0.17,0.11,-0.22,-1.55,-0.19,
17:43:28:644,0.01,0.35,-0.40,-0.22,-1.55,-0.19,
17:43:28:645,0.01,0.35,-0.40,-0.22,-1.53,-0.21,
17:43:28:656,-0.40,0.51,-0.84,-0.22,-1.53,-0.21,
17:43:28:657,-0.40,0.51,-0.84,-0.21,-1.43,-0.24,
17:43:28:658,-0.40,0.51,-0.84,-0.22,-1.25,-0.24,
17:43:28:659,-0.87,0.75,-1.20,-0.22,-1.25,-0.24,
17:43:28:659,-1.46,0.97,-1.40,-0.22,-1.25,-0.24,
17:43:28:660,-1.46,0.97,-1.40,-0.23,-1.03,-0.21,
17:43:28:676,-1.46,0.97,-1.40,-0.26,-0.80,-0.16,
17:43:28:677,-2.01,1.11,-1.67,-0.26,-0.80,-0.16,
17:43:28:677,-2.32,1.19,-1.65,-0.26,-0.80,-0.16,
17:43:28:677,-2.32,1.19,-1.65,-0.30,-0.58,-0.07,
17:43:28:678,-2.17,1.01,-1.57,-0.30,-0.58,-0.07,
17:43:28:678,-2.17,1.01,-1.57,-0.34,-0.37,0.05,
17:43:28:678,-2.17,1.01,-1.57,-0.40,-0.22,0.16,
17:43:28:679,-1.66,0.58,-1.43,-0.40,-0.22,0.16,
17:43:28:684,-1.66,0.58,-1.43,-0.46,-0.13,0.25,
17:43:28:685,-1.09,0.19,-1.17,-0.46,-0.13,0.25,
17:43:28:689,-1.09,0.19,-1.17,-0.52,-0.10,0.32,
17:43:28:690,-0.70,-0.01,-1.20,-0.52,-0.10,0.32,
17:43:28:693,-0.70,-0.01,-1.20,-0.59,-0.11,0.38,
17:43:28:694,-0.44,-0.03,-0.74,-0.59,-0.11,0.38,
17:43:28:698,-0.44,-0.03,-0.74,-0.65,-0.17,0.43,
17:43:28:699,-0.44,-0.04,-0.38,-0.65,-0.17,0.43,
17:43:28:704,-0.44,-0.04,-0.38,-0.70,-0.24,0.47,
17:43:28:705,-0.41,-0.05,0.11,-0.70,-0.24,0.47,
17:43:28:708,-0.41,-0.05,0.11,-0.72,-0.31,0.51,
17:43:28:708,-0.18,-0.02,0.72,-0.72,-0.31,0.51,
17:43:28:713,-0.18,-0.02,0.72,-0.72,-0.39,0.54,
17:43:28:714,0.08,-0.04,1.03,-0.72,-0.39,0.54,
17:43:28:720,0.08,-0.04,1.03,-0.69,-0.45,0.56,
17:43:28:721,0.43,-0.06,1.45,-0.69,-0.45,0.56,
17:43:28:722,0.43,-0.06,1.45,-0.63,-0.50,0.55,
17:43:28:723,0.66,-0.02,1.72,-0.63,-0.50,0.55,
17:43:28:728,0.80,0.02,1.85,-0.63,-0.50,0.55,
17:43:28:729,0.80,0.02,1.85,-0.55,-0.54,0.53,
17:43:28:732,1.00,0.13,2.11,-0.55,-0.54,0.53,
17:43:28:732,1.00,0.13,2.11,-0.46,-0.57,0.50,
17:43:28:738,1.00,0.13,2.11,-0.36,-0.58,0.47,
17:43:28:739,1.00,0.28,1.87,-0.36,-0.58,0.47,
17:43:28:742,1.00,0.28,1.87,-0.26,-0.54,0.44,
17:43:28:743,0.90,0.41,1.49,-0.26,-0.54,0.44,
17:43:28:747,0.90,0.41,1.49,-0.18,-0.47,0.41,
17:43:28:747,0.74,0.41,0.98,-0.18,-0.47,0.41,
17:43:28:755,0.74,0.41,0.98,-0.12,-0.39,0.38,
17:43:28:756,0.47,0.26,0.82,-0.12,-0.39,0.38,
17:43:28:757,0.47,0.26,0.82,-0.06,-0.37,0.36,
17:43:28:757,0.12,0.19,0.69,-0.06,-0.37,0.36,
17:43:28:765,-0.00,0.30,0.28,-0.06,-0.37,0.36,
17:43:28:766,-0.00,0.30,0.28,-0.00,-0.38,0.37,
17:43:28:789,-0.00,0.30,0.28,0.02,-0.39,0.38,
17:43:28:790,-0.18,0.35,0.16,0.02,-0.39,0.38,
17:43:28:790,-0.20,0.42,0.24,0.02,-0.39,0.38,
17:43:28:790,-0.20,0.42,0.24,0.02,-0.41,0.38,
17:43:28:791,-0.20,0.42,0.24,0.01,-0.45,0.39,
17:43:28:791,-0.24,0.36,0.15,0.01,-0.45,0.39,
17:43:28:791,-0.24,0.36,0.15,-0.00,-0.51,0.39,
17:43:28:792,-0.37,0.17,0.09,-0.00,-0.51,0.39,
17:43:28:792,-0.54,0.10,0.34,-0.00,-0.51,0.39,
17:43:28:792,-0.54,0.10,0.34,-0.02,-0.59,0.40,
17:43:28:793,-0.54,0.10,0.34,-0.02,-0.71,0.42,
17:43:28:793,-0.50,-0.06,0.93,-0.02,-0.71,0.42,
17:43:28:795,-0.50,-0.06,0.93,0.00,-0.85,0.44,
17:43:28:796,-0.10,-0.24,1.38,0.00,-0.85,0.44,
17:43:28:799,-0.10,-0.24,1.38,0.05,-0.98,0.43,
17:43:28:800,0.24,-0.29,1.60,0.05,-0.98,0.43,
17:43:28:804,0.24,-0.29,1.60,0.13,-1.07,0.41,
17:43:28:806,0.48,-0.32,1.69,0.13,-1.07,0.41,
17:43:28:809,0.48,-0.32,1.69,0.22,-1.10,0.38,
17:43:28:811,0.71,-0.55,1.51,0.22,-1.10,0.38,
17:43:28:814,0.71,-0.55,1.51,0.31,-1.08,0.33,
17:43:28:815,1.00,-0.85,1.29,0.31,-1.08,0.33,
17:43:28:820,1.00,-0.85,1.29,0.41,-1.02,0.25,
17:43:28:821,1.56,-1.38,1.07,0.41,-1.02,0.25,
17:43:28:824,1.56,-1.38,1.07,0.50,-0.94,0.15,
17:43:28:824,1.21,-0.98,0.73,0.50,-0.94,0.15,
17:43:28:830,1.21,-0.98,0.73,0.58,-0.87,0.06,
17:43:28:830,0.64,-0.54,0.71,0.58,-0.87,0.06,
17:43:28:836,0.52,-0.18,0.86,0.58,-0.87,0.06,
17:43:28:837,0.52,-0.18,0.86,0.62,-0.87,0.00,
17:43:28:840,0.52,-0.18,0.86,0.65,-0.91,-0.02,
17:43:28:841,-0.06,0.41,0.64,0.65,-0.91,-0.02,
17:43:28:844,-0.06,0.41,0.64,0.67,-0.96,-0.00,
17:43:28:844,-0.16,0.56,0.30,0.67,-0.96,-0.00,
17:43:28:849,-0.16,0.56,0.30,0.68,-0.96,0.03,
17:43:28:850,-0.21,0.53,-0.19,0.68,-0.96,0.03,
17:43:28:853,-0.21,0.53,-0.19,0.69,-0.89,0.05,
17:43:28:854,0.27,0.19,-0.39,0.69,-0.89,0.05,
17:43:28:858,0.27,0.19,-0.39,0.69,-0.80,0.05,
17:43:28:859,0.63,-0.05,-0.53,0.69,-0.80,0.05,
17:43:28:862,0.63,-0.05,-0.53,0.67,-0.72,0.03,
17:43:28:863,0.98,-0.32,-0.35,0.67,-0.72,0.03,
17:43:28:872,0.98,-0.32,-0.35,0.65,-0.65,0.02,
17:43:28:873,0.00,0.23,-0.88,0.65,-0.65,0.02,
17:43:28:873,-0.61,0.50,-0.83,0.65,-0.65,0.02,
17:43:28:877,-0.61,0.50,-0.83,0.62,-0.56,0.05,
17:43:28:879,-0.61,0.50,-0.83,0.59,-0.49,0.12,
17:43:28:880,-1.00,0.59,-0.82,0.59,-0.49,0.12,
17:43:28:882,-1.00,0.59,-0.82,0.55,-0.44,0.20,
17:43:28:883,-0.74,0.26,-0.62,0.55,-0.44,0.20,
17:43:28:889,-0.74,0.26,-0.62,0.50,-0.43,0.27,
17:43:28:890,-0.55,0.18,-0.60,0.50,-0.43,0.27,
17:43:28:893,-0.50,0.35,-0.79,0.50,-0.43,0.27,
17:43:28:894,-0.50,0.35,-0.79,0.47,-0.43,0.32,
17:43:28:896,-0.50,0.35,-0.79,0.45,-0.42,0.35,
17:43:28:896,-0.20,0.45,-0.78,0.45,-0.42,0.35,
17:43:28:901,-0.20,0.45,-0.78,0.44,-0.41,0.36,
17:43:28:902,0.15,0.57,-0.74,0.44,-0.41,0.36,
17:43:28:907,0.47,0.68,-0.79,0.44,-0.41,0.36,
17:43:28:907,0.47,0.68,-0.79,0.44,-0.40,0.34,
17:43:28:911,0.47,0.68,-0.79,0.43,-0.40,0.32,
17:43:28:911,0.71,0.79,-0.98,0.43,-0.40,0.32,
17:43:28:917,0.99,0.84,-1.26,0.43,-0.40,0.32,
17:43:28:918,0.99,0.84,-1.26,0.42,-0.42,0.28,
17:43:28:921,0.99,0.84,-1.26,0.40,-0.42,0.24,
17:43:28:922,1.03,0.98,-1.54,0.40,-0.42,0.24,
17:43:28:927,1.32,0.76,-1.35,0.40,-0.42,0.24,
17:43:28:927,1.32,0.76,-1.35,0.35,-0.44,0.21,
17:43:28:931,1.32,0.76,-1.35,0.30,-0.48,0.16,
17:43:28:931,0.69,1.19,-2.17,0.30,-0.48,0.16,
17:43:28:936,0.69,1.19,-2.17,0.23,-0.45,0.14,
17:43:28:936,0.33,1.31,-2.38,0.23,-0.45,0.14,
17:43:28:941,0.33,1.31,-2.38,0.16,-0.45,0.10,
17:43:28:941,1.77,0.17,-1.42,0.16,-0.45,0.10,
17:43:28:945,1.77,0.17,-1.42,0.10,-0.46,-0.00,
17:43:28:945,1.03,0.85,-1.97,0.10,-0.46,-0.00,
17:43:28:952,0.80,1.15,-1.57,0.10,-0.46,-0.00,
17:43:28:953,0.80,1.15,-1.57,0.04,-0.45,-0.07,
17:43:28:956,0.80,1.15,-1.57,0.00,-0.47,-0.10,
17:43:28:957,0.96,1.04,-0.91,0.00,-0.47,-0.10,
17:43:28:960,0.96,1.04,-0.91,-0.03,-0.52,-0.11,
17:43:28:960,0.31,1.24,-1.06,-0.03,-0.52,-0.11,
17:43:28:965,0.31,1.24,-1.06,-0.05,-0.52,-0.10,
17:43:28:966,0.07,1.29,-1.33,-0.05,-0.52,-0.10,
17:43:28:971,0.07,1.29,-1.33,-0.07,-0.48,-0.10,
17:43:28:972,0.45,1.05,-1.17,-0.07,-0.48,-0.10,
17:43:28:975,0.45,1.05,-1.17,-0.09,-0.45,-0.12,
17:43:28:976,0.77,0.77,-1.06,-0.09,-0.45,-0.12,
17:43:28:979,0.77,0.77,-1.06,-0.11,-0.44,-0.15,
17:43:28:980,1.00,0.51,-0.87,-0.11,-0.44,-0.15,
17:43:28:995,0.32,1.03,-1.16,-0.11,-0.44,-0.15,
17:43:28:996,0.32,1.03,-1.16,-0.13,-0.44,-0.18,
17:43:28:997,0.16,1.01,-0.98,-0.13,-0.44,-0.18,
17:43:28:997,0.16,1.01,-0.98,-0.14,-0.42,-0.17,
17:43:28:998,0.16,1.01,-0.98,-0.16,-0.41,-0.15,
17:43:28:999,0.37,0.68,-0.72,-0.16,-0.41,-0.15,
17:43:29:000,0.37,0.68,-0.72,-0.16,-0.42,-0.15,
17:43:29:000,0.19,0.73,-0.89,-0.16,-0.42,-0.15,
17:43:29:017,0.19,0.73,-0.89,-0.16,-0.44,-0.15,
17:43:29:019,-0.19,1.02,-0.94,-0.16,-0.44,-0.15,
17:43:29:048,-0.19,1.02,-0.94,-0.17,-0.48,-0.13,
17:43:29:048,0.08,0.89,-0.64,-0.17,-0.48,-0.13,
17:43:29:049,0.58,0.46,-0.25,-0.17,-0.48,-0.13,
17:43:29:049,0.58,0.46,-0.25,-0.17,-0.55,-0.14,
17:43:29:049,0.58,0.46,-0.25,-0.16,-0.61,-0.17,
17:43:29:050,-0.02,0.97,-0.80,-0.16,-0.61,-0.17,
17:43:29:050,-0.16,0.96,-0.65,-0.16,-0.61,-0.17,
17:43:29:050,-0.16,0.96,-0.65,-0.15,-0.62,-0.18,
17:43:29:051,-0.16,0.96,-0.65,-0.13,-0.62,-0.18,
17:43:29:051,-0.61,1.26,-0.74,-0.13,-0.62,-0.18,
17:43:29:051,-0.31,0.80,-0.37,-0.13,-0.62,-0.18,
17:43:29:052,-0.31,0.80,-0.37,-0.13,-0.62,-0.17,
17:43:29:052,-0.50,0.86,-0.57,-0.13,-0.62,-0.17,
17:43:29:052,-0.50,0.86,-0.57,-0.12,-0.65,-0.17,
17:43:29:053,-0.68,0.76,-0.62,-0.12,-0.65,-0.17,
17:43:29:053,-0.68,0.76,-0.62,-0.11,-0.68,-0.16,
17:43:29:053,-0.68,0.76,-0.62,-0.09,-0.72,-0.16,
17:43:29:054,0.15,-0.01,-0.45,-0.09,-0.72,-0.16,
17:43:29:054,0.15,-0.01,-0.45,-0.08,-0.73,-0.18,
17:43:29:054,-0.53,0.68,-1.14,-0.08,-0.73,-0.18,
17:43:29:057,-1.65,1.75,-1.67,-0.08,-0.73,-0.18,
17:43:29:059,-1.65,1.75,-1.67,-0.08,-0.69,-0.16,
17:43:29:062,-1.65,1.75,-1.67,-0.10,-0.62,-0.09,
17:43:29:062,-0.76,1.30,-1.80,-0.10,-0.62,-0.09,
17:43:29:067,-0.76,1.30,-1.80,-0.12,-0.51,-0.05,
17:43:29:067,-1.70,2.31,-2.04,-0.12,-0.51,-0.05,
17:43:29:072,-2.53,3.04,-2.25,-0.12,-0.51,-0.05,
17:43:29:073,-2.53,3.04,-2.25,-0.14,-0.40,0.03,
17:43:29:076,-2.53,3.04,-2.25,-0.18,-0.30,0.13,
17:43:29:077,-1.68,2.70,-2.36,-0.18,-0.30,0.13,
17:43:29:082,-1.68,2.70,-2.36,-0.22,-0.19,0.20,
17:43:29:082,-1.57,2.69,-2.39,-0.22,-0.19,0.20,
17:43:29:088,-1.57,2.69,-2.39,-0.27,-0.10,0.25,
17:43:29:089,-1.08,2.25,-2.47,-0.27,-0.10,0.25,
17:43:29:090,-1.08,2.25,-2.47,-0.31,-0.01,0.28,
17:43:29:091,-0.98,1.96,-2.39,-0.31,-0.01,0.28,
17:43:29:096,-0.98,1.96,-2.39,-0.36,0.07,0.32,
17:43:29:096,-0.91,1.75,-2.32,-0.36,0.07,0.32,
17:43:29:100,-0.91,1.75,-2.32,-0.40,0.15,0.34,
17:43:29:101,-0.62,1.49,-2.16,-0.40,0.15,0.34,
17:43:29:106,-0.62,1.49,-2.16,-0.44,0.23,0.35,
17:43:29:106,-0.81,1.65,-2.02,-0.44,0.23,0.35,
17:43:29:111,-0.81,1.65,-2.02,-0.47,0.30,0.38,
17:43:29:111,-1.01,1.87,-1.79,-0.47,0.30,0.38,
17:43:29:116,-1.01,1.87,-1.79,-0.49,0.35,0.41,
17:43:29:116,-1.18,2.11,-1.58,-0.49,0.35,0.41,
17:43:29:121,-1.18,2.11,-1.58,-0.49,0.39,0.43,
17:43:29:122,-0.97,2.05,-1.20,-0.49,0.39,0.43,
17:43:29:125,-0.97,2.05,-1.20,-0.47,0.42,0.43,
17:43:29:126,-0.35,1.77,-0.57,-0.47,0.42,0.43,
17:43:29:130,-0.35,1.77,-0.57,-0.43,0.40,0.40,
17:43:29:130,-0.16,1.73,-0.01,-0.43,0.40,0.40,
17:43:29:135,0.24,1.56,0.44,-0.43,0.40,0.40,
17:43:29:136,0.24,1.56,0.44,-0.40,0.28,0.39,
17:43:29:140,0.24,1.56,0.44,-0.35,0.12,0.37,
17:43:29:141,-0.57,1.72,0.91,-0.35,0.12,0.37,
17:43:29:144,-0.68,1.83,0.75,-0.35,0.12,0.37,
