
time,wx,wy,wz,ax,ay,az,
0.464,-0.87,-1.61,-0.18,2.37,-1.09,-1.07,
0.466,-0.87,-1.61,-0.18,2.15,-0.98,-0.75,
0.469,-0.91,-1.61,-0.20,2.15,-0.98,-0.75,
0.47,-0.91,-1.61,-0.20,2.02,-0.97,-0.60,
0.497,-0.96,-1.65,-0.22,2.02,-0.97,-0.60,
0.498,-0.96,-1.65,-0.22,1.92,-1.05,-0.54,
0.498,-1.02,-1.72,-0.23,1.92,-1.05,-0.54,
0.499,-1.02,-1.72,-0.23,1.84,-1.27,-0.56,
0.499,-1.09,-1.81,-0.25,1.84,-1.27,-0.56,
0.499,-1.09,-1.81,-0.25,1.72,-1.56,-0.57,
0.5,-1.18,-1.92,-0.28,1.72,-1.56,-0.57,
0.5,-1.18,-1.92,-0.28,1.61,-1.86,-0.47,
0.501,-1.27,-2.05,-0.30,1.61,-1.86,-0.47,
0.501,-1.27,-2.05,-0.30,1.19,-2.04,-0.37,
0.501,-1.36,-2.20,-0.31,1.19,-2.04,-0.37,
0.501,-1.36,-2.20,-0.31,0.82,-2.08,-0.34,
0.503,-1.46,-2.36,-0.29,0.82,-2.08,-0.34,
0.507,-1.46,-2.36,-0.29,0.98,-1.75,-0.23,
0.508,-1.57,-2.50,-0.26,0.98,-1.75,-0.23,
0.509,-1.57,-2.50,-0.26,1.48,-1.56,-0.18,
0.513,-1.57,-2.50,-0.26,2.02,-1.43,-0.20,
0.514,-1.66,-2.61,-0.24,2.02,-1.43,-0.20,
0.518,-1.66,-2.61,-0.24,2.50,-1.28,-0.06,
0.518,-1.72,-2.68,-0.27,2.50,-1.28,-0.06,
0.523,-1.77,-2.74,-0.33,2.50,-1.28,-0.06,
0.524,-1.77,-2.74,-0.33,2.83,-1.14,0.06,
0.528,-1.77,-2.74,-0.33,2.98,-1.05,-0.00,
0.528,-1.80,-2.78,-0.42,2.98,-1.05,-0.00,
0.534,-1.80,-2.77,-0.52,2.98,-1.05,-0.00,
0.536,-1.80,-2.77,-0.52,2.96,-0.95,-0.17,
0.537,-1.80,-2.77,-0.52,2.79,-0.89,-0.32,
0.538,-1.78,-2.72,-0.62,2.79,-0.89,-0.32,
0.542,-1.74,-2.65,-0.70,2.79,-0.89,-0.32,
0.543,-1.74,-2.65,-0.70,2.54,-0.90,-0.48,
0.55,-1.68,-2.54,-0.78,2.54,-0.90,-0.48,
0.552,-1.68,-2.54,-0.78,2.26,-0.78,-0.50,
0.553,-1.68,-2.54,-0.78,1.96,-0.72,-0.66,
0.553,-1.61,-2.43,-0.84,1.96,-0.72,-0.66,
0.557,-1.52,-2.28,-0.89,1.96,-0.72,-0.66,
0.557,-1.52,-2.28,-0.89,1.64,-0.61,-0.89,
0.564,-1.52,-2.28,-0.89,1.28,-0.43,-1.17,
0.565,-1.42,-2.12,-0.94,1.28,-0.43,-1.17,
0.566,-1.42,-2.12,-0.94,0.82,-0.30,-1.59,
0.567,-1.33,-1.93,-0.96,0.82,-0.30,-1.59,
0.571,-1.25,-1.71,-0.98,0.82,-0.30,-1.59,
0.572,-1.25,-1.71,-0.98,-0.09,-0.28,-2.27,
0.577,-1.17,-1.44,-1.01,-0.09,-0.28,-2.27,
0.578,-1.17,-1.44,-1.01,-1.27,-0.05,-2.79,
0.581,-1.12,-1.17,-1.00,-1.27,-0.05,-2.79,
0.582,-1.12,-1.17,-1.00,-2.02,0.37,-2.95,
0.588,-1.07,-0.94,-0.95,-2.02,0.37,-2.95,
0.588,-1.07,-0.94,-0.95,-2.32,0.69,-2.86,
0.59,-1.04,-0.76,-0.87,-2.32,0.69,-2.86,
0.59,-1.04,-0.76,-0.87,-2.46,0.79,-2.79,
0.595,-1.02,-0.62,-0.80,-2.46,0.79,-2.79,
0.596,-1.02,-0.62,-0.80,-2.58,0.87,-2.69,
0.6,-1.01,-0.51,-0.75,-2.58,0.87,-2.69,
0.6,-1.01,-0.51,-0.75,-2.65,0.89,-2.71,
0.605,-1.00,-0.25,-0.71,-2.65,0.89,-2.71,
0.605,-1.00,-0.25,-0.71,-2.34,0.84,-2.46,
0.61,-1.00,-0.25,-0.71,-2.21,1.04,-1.07,
0.61,-0.93,0.36,-0.67,-2.21,1.04,-1.07,
0.615,-0.80,0.94,-0.64,-2.21,1.04,-1.07,
0.615,-0.80,0.94,-0.64,-2.51,1.50,0.45,
0.619,-0.80,0.94,-0.64,-2.63,1.62,1.31,
0.62,-0.67,1.15,-0.58,-2.63,1.62,1.31,
0.624,-0.67,1.15,-0.58,-2.47,1.37,2.84,
0.625,-0.53,1.24,-0.51,-2.47,1.37,2.84,
0.634,-0.53,1.24,-0.51,-2.45,1.21,4.75,
0.635,-0.41,1.36,-0.48,-2.45,1.21,4.75,
0.635,-0.41,1.36,-0.48,-3.05,1.74,5.61,
0.636,-0.29,1.40,-0.49,-3.05,1.74,5.61,
0.639,-0.29,1.40,-0.49,-3.10,2.71,5.52,
0.641,-0.22,1.31,-0.51,-3.10,2.71,5.52,
0.644,-0.15,1.16,-0.47,-3.10,2.71,5.52,
0.645,-0.15,1.16,-0.47,-1.86,3.30,4.91,
0.65,-0.05,1.03,-0.42,-1.86,3.30,4.91,
0.651,-0.05,1.03,-0.42,-0.79,3.35,3.82,
0.654,0.06,0.93,-0.38,-0.79,3.35,3.82,
0.654,0.06,0.93,-0.38,-0.08,2.98,2.75,
0.658,0.16,0.84,-0.35,-0.08,2.98,2.75,
0.659,0.16,0.84,-0.35,0.39,2.29,1.72,
0.665,0.25,0.79,-0.32,0.39,2.29,1.72,
0.666,0.25,0.79,-0.32,0.36,1.55,0.73,
0.668,0.31,0.80,-0.29,0.36,1.55,0.73,
0.669,0.31,0.80,-0.29,0.36,0.90,0.04,
0.673,0.35,0.83,-0.27,0.36,0.90,0.04,
0.674,0.35,0.83,-0.27,0.07,0.34,-0.69,
0.678,0.35,0.91,-0.27,0.07,0.34,-0.69,
0.679,0.35,0.91,-0.27,0.24,-0.00,-1.11,
0.683,0.33,0.99,-0.30,0.24,-0.00,-1.11,
0.684,0.33,0.99,-0.30,0.28,-0.14,-1.59,
0.688,0.28,1.06,-0.35,0.28,-0.14,-1.59,
0.688,0.28,1.06,-0.35,0.28,-0.10,-2.06,
0.692,0.22,1.14,-0.40,0.28,-0.10,-2.06,
0.693,0.22,1.14,-0.40,0.82,-0.02,-2.51,
0.698,0.15,1.23,-0.46,0.82,-0.02,-2.51,
0.699,0.15,1.23,-0.46,1.46,-0.13,-3.02,
0.702,0.10,1.39,-0.55,1.46,-0.13,-3.02,
0.703,0.10,1.39,-0.55,3.37,-0.49,-3.22,
0.707,0.05,1.59,-0.68,3.37,-0.49,-3.22,
0.708,0.05,1.59,-0.68,6.79,-1.01,-3.61,
0.714,0.05,1.59,-0.68,10.35,-1.61,-4.01,
0.715,-0.01,1.82,-0.87,10.35,-1.61,-4.01,
0.742,-0.07,1.99,-1.15,10.35,-1.61,-4.01,
0.743,-0.07,1.99,-1.15,11.43,-2.18,-3.32,
0.743,-0.14,1.86,-1.51,11.43,-2.18,-3.32,
0.744,-0.14,1.86,-1.51,10.97,-2.62,-3.12,
0.744,-0.19,1.83,-1.94,10.97,-2.62,-3.12,
0.744,-0.19,1.83,-1.94,11.86,-2.48,-3.03,
0.745,-0.22,1.97,-2.50,11.86,-2.48,-3.03,
0.745,-0.22,1.97,-2.50,13.59,-2.05,-1.68,
0.746,-0.24,2.08,-3.20,13.59,-2.05,-1.68,
0.746,-0.24,2.08,-3.20,14.08,-1.94,-0.70,
0.746,-0.21,2.17,-3.97,14.08,-1.94,-0.70,
0.747,-0.21,2.17,-3.97,13.05,-1.99,-0.13,
0.747,-0.15,2.27,-4.71,13.05,-1.99,-0.13,
0.748,-0.15,2.27,-4.71,11.69,-1.83,0.27,
0.752,-0.15,2.27,-4.71,9.89,-1.62,0.42,
0.753,-0.07,2.31,-5.40,9.89,-1.62,0.42,
0.756,0.03,2.27,-5.99,9.89,-1.62,0.42,
0.756,0.03,2.27,-5.99,7.53,-1.21,1.15,
0.761,0.03,2.27,-5.99,4.07,-0.58,1.72,
0.762,0.14,2.11,-6.43,4.07,-0.58,1.72,
0.767,0.25,1.85,-6.70,4.07,-0.58,1.72,
0.767,0.25,1.85,-6.70,-0.35,0.51,2.64,
0.771,0.25,1.85,-6.70,-4.53,2.15,3.17,
0.771,0.32,1.47,-6.74,-4.53,2.15,3.17,
0.777,0.35,1.06,-6.52,-4.53,2.15,3.17,
0.777,0.35,1.06,-6.52,-8.23,5.01,2.31,
0.781,0.25,0.90,-5.96,-8.23,5.01,2.31,
0.781,0.25,0.90,-5.96,-11.24,8.88,-0.27,
0.786,0.02,0.99,-5.05,-11.24,8.88,-0.27,
0.787,0.02,0.99,-5.05,-12.44,12.32,4.61,
0.791,0.02,0.99,-5.05,-12.89,14.13,7.93,
0.791,-0.08,0.63,-4.10,-12.89,14.13,7.93,
0.795,-0.08,0.63,-4.10,-12.44,15.37,8.72,
0.795,-0.02,0.16,-3.25,-12.44,15.37,8.72,
0.8,0.07,-0.23,-2.40,-12.44,15.37,8.72,
0.801,0.07,-0.23,-2.40,-10.35,17.36,8.20,
0.805,0.07,-0.23,-2.40,-7.85,18.39,7.25,
0.805,0.14,-0.47,-1.50,-7.85,18.39,7.25,
0.809,0.23,-0.57,-0.64,-7.85,18.39,7.25,
0.81,0.23,-0.57,-0.64,-3.18,15.28,5.33,
0.815,0.37,-0.33,-0.04,-3.18,15.28,5.33,
0.816,0.37,-0.33,-0.04,1.79,11.64,1.52,
0.819,0.47,0.32,0.31,1.79,11.64,1.52,
0.819,0.47,0.32,0.31,4.21,9.67,-3.79,
0.824,0.28,1.23,0.56,4.21,9.67,-3.79,
0.824,0.28,1.23,0.56,7.81,7.23,-0.88,
0.829,0.08,1.71,0.50,7.81,7.23,-0.88,
0.83,0.08,1.71,0.50,10.54,5.59,0.81,
0.834,-0.01,2.00,0.18,10.54,5.59,0.81,
0.834,-0.01,2.00,0.18,10.17,5.06,0.71,
0.838,-0.14,2.20,-0.18,10.17,5.06,0.71,
0.839,-0.14,2.20,-0.18,9.82,4.79,0.73,
0.844,-0.32,2.25,-0.57,9.82,4.79,0.73,
0.844,-0.32,2.25,-0.57,9.34,3.99,0.11,
0.849,-0.54,2.28,-0.98,9.34,3.99,0.11,
0.849,-0.54,2.28,-0.98,9.23,3.22,-0.35,
0.853,-0.76,2.31,-1.39,9.23,3.22,-0.35,
0.853,-0.76,2.31,-1.39,8.79,2.52,-0.01,
0.858,-0.98,2.29,-1.77,8.79,2.52,-0.01,
0.858,-0.98,2.29,-1.77,8.39,2.18,0.19,
0.866,-1.17,2.24,-2.10,8.39,2.18,0.19,
0.867,-1.17,2.24,-2.10,7.66,2.10,0.46,
0.868,-1.34,2.18,-2.37,7.66,2.10,0.46,
0.868,-1.34,2.18,-2.37,6.81,2.12,0.98,
0.873,-1.34,2.18,-2.37,6.28,2.15,1.50,
0.874,-1.48,2.11,-2.60,6.28,2.15,1.50,
0.877,-1.59,2.06,-2.81,6.28,2.15,1.50,
0.878,-1.59,2.06,-2.81,5.70,1.98,1.79,
0.882,-1.68,2.05,-3.01,5.70,1.98,1.79,
0.884,-1.68,2.05,-3.01,5.19,1.38,2.01,
0.887,-1.76,2.07,-3.19,5.19,1.38,2.01,
0.888,-1.76,2.07,-3.19,5.50,0.89,2.01,
0.892,-1.76,2.07,-3.19,5.37,0.08,1.44,
0.893,-1.82,2.14,-3.40,5.37,0.08,1.44,
0.898,-1.86,2.30,-3.61,5.37,0.08,1.44,
0.899,-1.86,2.30,-3.61,5.27,-0.90,0.83,
0.901,-1.89,2.51,-3.81,5.27,-0.90,0.83,
0.902,-1.89,2.51,-3.81,5.17,-1.93,0.09,
0.907,-1.92,2.76,-4.00,5.17,-1.93,0.09,
0.907,-1.92,2.76,-4.00,4.88,-3.02,-0.62,
0.913,-1.92,2.76,-4.00,4.30,-4.15,-1.15,
0.914,-1.94,3.01,-4.17,4.30,-4.15,-1.15,
0.917,-1.94,3.01,-4.17,3.84,-5.20,-1.66,
0.917,-1.96,3.23,-4.32,3.84,-5.20,-1.66,
0.921,-1.96,3.23,-4.32,3.43,-6.29,-2.22,
0.922,-1.98,3.43,-4.45,3.43,-6.29,-2.22,
0.926,-1.98,3.43,-4.45,2.66,-7.02,-2.88,
0.927,-1.98,3.60,-4.57,2.66,-7.02,-2.88,
0.931,-1.98,3.60,-4.57,1.82,-7.87,-3.43,
0.932,-1.98,3.75,-4.67,1.82,-7.87,-3.43,
0.935,-1.98,3.75,-4.67,0.88,-8.74,-4.00,
0.936,-1.96,3.88,-4.74,0.88,-8.74,-4.00,
0.941,-1.96,3.88,-4.74,-0.24,-9.32,-4.67,
0.941,-1.92,4.01,-4.78,-0.24,-9.32,-4.67,
0.947,-1.86,4.13,-4.79,-0.24,-9.32,-4.67,
0.948,-1.86,4.13,-4.79,-1.47,-10.03,-5.04,
0.95,-1.76,4.22,-4.76,-1.47,-10.03,-5.04,
0.951,-1.76,4.22,-4.76,-2.74,-10.83,-5.34,
0.955,-1.64,4.27,-4.70,-2.74,-10.83,-5.34,
0.956,-1.64,4.27,-4.70,-4.03,-11.82,-5.30,
0.985,-1.46,4.23,-4.62,-4.03,-11.82,-5.30,
0.985,-1.46,4.23,-4.62,-5.19,-12.99,-4.55,
0.986,-1.46,4.23,-4.62,-6.33,-14.24,-3.33,
0.986,-1.20,4.05,-4.52,-6.33,-14.24,-3.33,
0.989,-0.86,3.70,-4.38,-6.33,-14.24,-3.33,
0.99,-0.86,3.70,-4.38,-8.03,-15.40,-2.27,
0.99,-0.44,3.14,-4.16,-8.03,-15.40,-2.27,
0.991,-0.44,3.14,-4.16,-10.09,-16.87,0.09,
0.991,0.08,2.28,-3.86,-10.09,-16.87,0.09,
0.992,0.08,2.28,-3.86,-12.16,-18.53,2.89,
0.992,0.08,2.28,-3.86,-13.68,-20.47,5.42,
0.994,0.68,1.18,-3.50,-13.68,-20.47,5.42,
0.995,0.68,1.18,-3.50,-14.82,-22.38,7.13,
0.996,1.34,-0.08,-3.13,-14.82,-22.38,7.13,
0.997,2.06,-1.38,-2.79,-14.82,-22.38,7.13,
0.997,2.06,-1.38,-2.79,-15.26,-23.79,8.07,
1.003,2.83,-2.63,-2.51,-15.26,-23.79,8.07,
1.005,2.83,-2.63,-2.51,-14.27,-24.69,8.73,
1.012,3.65,-3.74,-2.29,-14.27,-24.69,8.73,
1.014,3.65,-3.74,-2.29,-14.36,-23.26,7.67,
1.014,3.65,-3.74,-2.29,-15.45,-21.27,7.43,
1.015,4.51,-4.54,-2.03,-15.45,-21.27,7.43,
1.016,5.41,-5.15,-1.66,-15.45,-21.27,7.43,
1.017,5.41,-5.15,-1.66,-16.28,-20.20,8.51,
1.019,6.37,-5.65,-1.21,-16.28,-20.20,8.51,
1.019,6.37,-5.65,-1.21,-16.03,-20.40,10.07,
1.023,7.39,-6.03,-0.78,-16.03,-20.40,10.07,
1.024,7.39,-6.03,-0.78,-14.75,-21.70,11.80,
